,font,category,isin_laten,data_type
0,Varta[wght],SANS_SERIF,True,train
1,Vibes-Regular,DISPLAY,True,train
2,Arsenal-Regular,SANS_SERIF,True,train
3,Arsenal-Italic,SANS_SERIF,True,train
4,Arsenal-BoldItalic,SANS_SERIF,True,train
5,Arsenal-Bold,SANS_SERIF,True,train
6,BigelowRules-Regular,DISPLAY,True,train
7,Sevillana-Regular,DISPLAY,True,train
8,GochiHand-Regular,HANDWRITING,True,train
9,Gruppo-Regular,DISPLAY,True,train
10,Sriracha-Regular,HANDWRITING,True,train
11,Ramabhadra-Regular,SANS_SERIF,True,train
12,RubikBeastly-Regular,DISPLAY,True,train
13,Pattaya-Regular,SANS_SERIF,True,train
14,Farsan-Regular,DISPLAY,True,train
15,Offside-Regular,DISPLAY,True,train
16,SuezOne-Regular,SERIF,True,train
17,BowlbyOne-Regular,DISPLAY,True,train
18,ComicNeue-BoldItalic,HANDWRITING,True,train
19,ComicNeue-Light,HANDWRITING,True,train
20,ComicNeue-Regular,HANDWRITING,True,train
21,ComicNeue-Bold,HANDWRITING,True,train
22,ComicNeue-LightItalic,HANDWRITING,True,train
23,ComicNeue-Italic,HANDWRITING,True,train
24,LobsterTwo-Bold,DISPLAY,True,train
25,LobsterTwo-Italic,DISPLAY,True,train
26,LobsterTwo-BoldItalic,DISPLAY,True,train
27,LobsterTwo-Regular,DISPLAY,True,train
28,HindJalandhar-Bold,SANS_SERIF,True,train
29,HindJalandhar-Medium,SANS_SERIF,True,train
30,HindJalandhar-Regular,SANS_SERIF,True,train
31,HindJalandhar-SemiBold,SANS_SERIF,True,train
32,HindJalandhar-Light,SANS_SERIF,True,train
33,Italianno-Regular,HANDWRITING,True,train
34,Bonbon-Regular,HANDWRITING,True,train
35,Galada-Regular,DISPLAY,True,train
36,OdorMeanChey-Regular,SERIF,True,train
37,Kreon[wght],SERIF,True,train
38,Oxanium[wght],DISPLAY,True,train
39,ShareTech-Regular,SANS_SERIF,True,train
40,PlayfairDisplay-Italic[wght],SERIF,True,train
41,PlayfairDisplay[wght],SERIF,True,train
42,BioRhymeExpanded-Regular,SERIF,True,train
43,BioRhymeExpanded-Light,SERIF,True,train
44,BioRhymeExpanded-ExtraBold,SERIF,True,train
45,BioRhymeExpanded-ExtraLight,SERIF,True,train
46,BioRhymeExpanded-Bold,SERIF,True,train
47,Cherish-Regular,HANDWRITING,True,train
48,IMFePIsc28P,SERIF,True,train
49,Basic-Regular,SANS_SERIF,True,train
50,Abel-Regular,SANS_SERIF,True,train
51,Merriweather-BlackItalic,SERIF,True,train
52,Merriweather-Italic,SERIF,True,train
53,Merriweather-Regular,SERIF,True,train
54,Merriweather-Light,SERIF,True,train
55,Merriweather-LightItalic,SERIF,True,train
56,Merriweather-Black,SERIF,True,train
57,Merriweather-Bold,SERIF,True,train
58,Merriweather-BoldItalic,SERIF,True,train
59,HindSiliguri-Bold,SANS_SERIF,True,train
60,HindSiliguri-Light,SANS_SERIF,True,train
61,HindSiliguri-SemiBold,SANS_SERIF,True,train
62,HindSiliguri-Regular,SANS_SERIF,True,train
63,HindSiliguri-Medium,SANS_SERIF,True,train
64,GoudyBookletter1911,SERIF,True,train
65,Oswald[wght],SANS_SERIF,True,train
66,SawarabiMincho-Regular,SERIF,True,train
67,RocknRollOne-Regular,SANS_SERIF,True,train
68,Cagliostro-Regular,SANS_SERIF,True,train
69,BalooTamma2[wght],DISPLAY,True,train
70,MuseoModerno[wght],DISPLAY,True,train
71,MuseoModerno-Italic[wght],DISPLAY,True,train
72,Chilanka-Regular,HANDWRITING,True,train
73,FjallaOne-Regular,SANS_SERIF,True,train
74,YeonSung-Regular,DISPLAY,True,train
75,LibreBarcode39Extended-Regular,DISPLAY,True,train
76,CantataOne-Regular,SERIF,True,train
77,Baumans-Regular,DISPLAY,True,train
78,IBMPlexSansDevanagari-Light,SANS_SERIF,True,train
79,IBMPlexSansDevanagari-ExtraLight,SANS_SERIF,True,train
80,IBMPlexSansDevanagari-SemiBold,SANS_SERIF,True,train
81,IBMPlexSansDevanagari-Medium,SANS_SERIF,True,train
82,IBMPlexSansDevanagari-Regular,SANS_SERIF,True,train
83,IBMPlexSansDevanagari-Thin,SANS_SERIF,True,train
84,IBMPlexSansDevanagari-Bold,SANS_SERIF,True,train
85,BungeeHairline-Regular,DISPLAY,True,train
86,Sarabun-Medium,SANS_SERIF,True,train
87,Sarabun-ExtraBoldItalic,SANS_SERIF,True,train
88,Sarabun-Bold,SANS_SERIF,True,train
89,Sarabun-Thin,SANS_SERIF,True,train
90,Sarabun-Regular,SANS_SERIF,True,train
91,Sarabun-ThinItalic,SANS_SERIF,True,train
92,Sarabun-Italic,SANS_SERIF,True,train
93,Sarabun-LightItalic,SANS_SERIF,True,train
94,Sarabun-ExtraLight,SANS_SERIF,True,train
95,Sarabun-BoldItalic,SANS_SERIF,True,train
96,Sarabun-Light,SANS_SERIF,True,train
97,Sarabun-ExtraBold,SANS_SERIF,True,train
98,Sarabun-MediumItalic,SANS_SERIF,True,train
99,Sarabun-SemiBold,SANS_SERIF,True,train
100,Sarabun-ExtraLightItalic,SANS_SERIF,True,train
101,Sarabun-SemiBoldItalic,SANS_SERIF,True,train
102,SeymourOne-Regular,SANS_SERIF,True,train
103,"Newsreader[opsz,wght]",SERIF,True,train
104,"Newsreader-Italic[opsz,wght]",SERIF,True,train
105,Creepster-Regular,DISPLAY,True,train
106,Corben-Regular,DISPLAY,True,train
107,Corben-Bold,DISPLAY,True,train
108,SignikaNegativeSC-Light,SANS_SERIF,True,train
